year,name,name_full,nationality,stage_wins,time_margin,time_overall
2016,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 89.08 hours
2017,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 0,Winning Margin: 0.02 hours,Overall Time: 86.35 hours
