year,stage,origin,destination,origin_lat,origin_lon,destination_lat,destination_lon,winner,name,name_full,nationality,stage_wins,time_margin,time_overall
2014,12,Bourg-en-Bresse,Saint-Étienne,46.20516749999999,5.2255007000000004,45.439695,4.3871779, Kristoff,Vincenzo Nibali,Winner: Vincenzo Nibali (Italy), Italy,Stage Wins: 4,Winning Margin: 0.12 hours,Overall Time: 89.98 hours
2014,13,Saint-Étienne,Chamrousse,45.439695,4.3871779,45.125328,5.878680999999999, Nibali,Vincenzo Nibali,Winner: Vincenzo Nibali (Italy), Italy,Stage Wins: 4,Winning Margin: 0.12 hours,Overall Time: 89.98 hours
2014,14,Grenoble,Risoul,45.188529,5.724524,44.648326,6.636775, Majka,Vincenzo Nibali,Winner: Vincenzo Nibali (Italy), Italy,Stage Wins: 4,Winning Margin: 0.12 hours,Overall Time: 89.98 hours
2014,15,Tallard,Nîmes,44.461865,6.055327,43.836699,4.360054, Kristoff,Vincenzo Nibali,Winner: Vincenzo Nibali (Italy), Italy,Stage Wins: 4,Winning Margin: 0.12 hours,Overall Time: 89.98 hours
2014,16,Carcassonne,Bagnères-de-Luchon,43.2132151,2.3517703,42.788963,0.592943, Rogers,Vincenzo Nibali,Winner: Vincenzo Nibali (Italy), Italy,Stage Wins: 4,Winning Margin: 0.12 hours,Overall Time: 89.98 hours
2014,17,Saint-Gaudens,Saint-Lary Pla d’Adet,43.106895,0.7237629999999999,42.812512,0.295192, Majka,Vincenzo Nibali,Winner: Vincenzo Nibali (Italy), Italy,Stage Wins: 4,Winning Margin: 0.12 hours,Overall Time: 89.98 hours
2014,18,Pau,Hautacam,43.2951,-0.370797,42.9721489,-0.0074672, Nibali,Vincenzo Nibali,Winner: Vincenzo Nibali (Italy), Italy,Stage Wins: 4,Winning Margin: 0.12 hours,Overall Time: 89.98 hours
2014,19,Maubourguet Pays du Val d’Adour,Bergerac,43.4404614,0.0446786,44.853806,0.483392, Navardauskas,Vincenzo Nibali,Winner: Vincenzo Nibali (Italy), Italy,Stage Wins: 4,Winning Margin: 0.12 hours,Overall Time: 89.98 hours
2014,20,Bergerac,Périgueux,44.853806,0.483392,45.184029,0.7211149, Martin,Vincenzo Nibali,Winner: Vincenzo Nibali (Italy), Italy,Stage Wins: 4,Winning Margin: 0.12 hours,Overall Time: 89.98 hours
2014,21,Évry,Paris,48.629828,2.441782,48.856614,2.3522219, Kittel,Vincenzo Nibali,Winner: Vincenzo Nibali (Italy), Italy,Stage Wins: 4,Winning Margin: 0.12 hours,Overall Time: 89.98 hours
2015,1,Utrecht,Utrecht,52.09073739999999,5.1214201,52.09073739999999,5.1214201, Dennis,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 1,Winning Margin: 0.02 hours,Overall Time: 84.77 hours
2015,2,Utrecht,Zeeland,52.09073739999999,5.1214201,51.4940309,3.8496815, Greipel,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 1,Winning Margin: 0.02 hours,Overall Time: 84.77 hours
2015,3,Antwerp,Huy,51.2194475,4.4024643,50.5187153,5.239665599999999, Rodríguez,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 1,Winning Margin: 0.02 hours,Overall Time: 84.77 hours
2015,4,Seraing,Cambrai,50.5838832,5.4996296,50.173538,3.236633, Martin,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 1,Winning Margin: 0.02 hours,Overall Time: 84.77 hours
2015,5,Arras,Amiens,50.291002,2.777535,49.894067,2.295753, Greipel,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 1,Winning Margin: 0.02 hours,Overall Time: 84.77 hours
2015,6,Abbeville,Le Havre,50.105467,1.836833,49.49437,0.107929, Štybar,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 1,Winning Margin: 0.02 hours,Overall Time: 84.77 hours
2015,7,Livarot,Fougères,49.00436,0.149727,48.3515609,-1.204626, Cavendish,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 1,Winning Margin: 0.02 hours,Overall Time: 84.77 hours
2015,8,Rennes,Mûr-de-Bretagne,48.117266,-1.6777926,48.201707,-2.987594, Vuillermoz,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 1,Winning Margin: 0.02 hours,Overall Time: 84.77 hours
2015,9,Vannes,Plumelec,47.658236,-2.760847,47.837699,-2.639409, Racing Team,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 1,Winning Margin: 0.02 hours,Overall Time: 84.77 hours
2015,10,Tarbes,La Pierre Saint-Martin,43.23295100000001,0.078082,42.9779986,-0.7467169, Froome,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 1,Winning Margin: 0.02 hours,Overall Time: 84.77 hours
2015,11,Pau,Cauterets,43.2951,-0.370797,42.889054,-0.114246, Majka,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 1,Winning Margin: 0.02 hours,Overall Time: 84.77 hours
2015,12,Lannemezan,Plateau de Beille,43.125519,0.38396,42.72471669999999,1.69118, Rodríguez,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 1,Winning Margin: 0.02 hours,Overall Time: 84.77 hours
2015,13,Muret,Rodez,43.46157400000001,1.33071,44.349389,2.575986, Van Avermaet,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 1,Winning Margin: 0.02 hours,Overall Time: 84.77 hours
2015,14,Rodez,Mende,44.349389,2.575986,44.517611,3.501873, Cummings,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 1,Winning Margin: 0.02 hours,Overall Time: 84.77 hours
2015,15,Mende,Valence,44.517611,3.501873,44.933393,4.89236, Greipel,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 1,Winning Margin: 0.02 hours,Overall Time: 84.77 hours
2015,16,Bourg-de-Péage,Gap,45.040419,5.050948,NA,NA, Plaza Molina,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 1,Winning Margin: 0.02 hours,Overall Time: 84.77 hours
2015,17,Digne-les-Bains,Pra-Loup,44.09219299999999,6.235976,44.3679996,6.604627499999999, Geschke,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 1,Winning Margin: 0.02 hours,Overall Time: 84.77 hours
2015,18,Gap,Saint-Jean-de-Maurienne,NA,NA,45.275403,6.344886, Bardet,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 1,Winning Margin: 0.02 hours,Overall Time: 84.77 hours
2015,19,Saint-Jean-de-Maurienne,La Toussuire - Les Sybelles,45.275403,6.344886,45.2538765,6.2612277, Nibali,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 1,Winning Margin: 0.02 hours,Overall Time: 84.77 hours
2015,20,Modane,Alpe d'Huez,45.201491,6.67292,45.090628100000004,6.0649402, Pinot,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 1,Winning Margin: 0.02 hours,Overall Time: 84.77 hours
2015,21,Sèvres,Paris,48.8212407,2.2109771,48.856614,2.3522219, Greipel,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 1,Winning Margin: 0.02 hours,Overall Time: 84.77 hours
2016,1,Mont Saint-Michel,Utah Beach,48.636063,-1.511457,49.4230363,-1.1818896, Cavendish,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 89.08 hours
2016,2,Saint-Lô,Cherbourg-en-Cotentin,49.1154686,-1.0828136,49.6338979,-1.622224, Sagan,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 89.08 hours
2016,3,Granville,Angers,48.837579,-1.597302,47.47116159999999,-0.5518257, Cavendish,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 89.08 hours
2016,4,Saumur,Limoges,47.260135,-0.08089299999999999,45.83361900000001,1.261105, Kittel,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 89.08 hours
2016,5,Limoges,Le Lioran,45.83361900000001,1.261105,45.0827278,2.7503595, Van Avermaet,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 89.08 hours
2016,6,Arpajon-sur-Cère,Montauban,44.901275,2.4582799,44.0221252,1.3529599, Cavendish,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 89.08 hours
2016,7,L'Isle-Jourdain,Lac de Payolle,43.6138369,1.081741,42.934444,0.297222, Cummings,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 89.08 hours
2016,8,Pau,Bagnères-de-Luchon,43.2951,-0.370797,42.788963,0.592943, Froome,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 89.08 hours
2016,9,Vielha Val d'Aran,Andorra-Arcalis,42.7245643,0.7722973999999999,42.6313635,1.4992993, Dumoulin,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 89.08 hours
2016,10,Escaldes-Engordany,Revel,42.4909379,1.5886966,43.458611,2.004573, Matthews,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 89.08 hours
2016,11,Carcassonne,Montpellier,43.2132151,2.3517703,43.610769,3.876716, Sagan,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 89.08 hours
2016,12,Montpellier,Chalet Reynard,43.610769,3.876716,44.1523991,5.3189936, De Gendt,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 89.08 hours
