year,name_full,stage_wins,time_margin,time_overall
1969,Winner: Eddy Merckx (Belgium),Stage Wins: 6,Winning Margin: 0.29 hours,Overall Time: 116.3 hours
1970,Winner: Eddy Merckx (Belgium),Stage Wins: 8,Winning Margin: 0.2 hours,Overall Time: 119.5 hours
1971,Winner: Eddy Merckx (Belgium),Stage Wins: 4,Winning Margin: 0.15 hours,Overall Time: 96.8 hours
1972,Winner: Eddy Merckx (Belgium),Stage Wins: 6,Winning Margin: 0.17 hours,Overall Time: 108.3 hours
1973,Winner: Luis Ocaña (Spain),Stage Wins: 6,Winning Margin: 0.25 hours,Overall Time: 122.4 hours
1974,Winner: Eddy Merckx (Belgium),Stage Wins: 8,Winning Margin: 0.14 hours,Overall Time: 116.3 hours
1975,Winner: Bernard Thévenet (France),Stage Wins: 2,Winning Margin: 0.03 hours,Overall Time: 114.6 hours
1976,Winner: Lucien Van Impe (Belgium),Stage Wins: 1,Winning Margin: 0.07 hours,Overall Time: 116.4 hours
1977,Winner: Bernard Thévenet (France),Stage Wins: 1,Winning Margin: 0.01 hours,Overall Time: 115.6 hours
1978,Winner: Bernard Hinault (France),Stage Wins: 3,Winning Margin: 0.05 hours,Overall Time: 108.3 hours
1979,Winner: Bernard Hinault (France),Stage Wins: 7,Winning Margin: 0.22 hours,Overall Time: 103.1 hours
1980,Winner: Joop Zoetemelk (Netherlands),Stage Wins: 2,Winning Margin: 0.1 hours,Overall Time: 109.3 hours
1981,Winner: Bernard Hinault (France),Stage Wins: 5,Winning Margin: 0.24 hours,Overall Time: 96.3 hours
1982,Winner: Bernard Hinault (France),Stage Wins: 4,Winning Margin: 0.1 hours,Overall Time: 92.1 hours
1983,Winner: Laurent Fignon (France),Stage Wins: 1,Winning Margin: 0.07 hours,Overall Time: 105.1 hours
1984,Winner: Laurent Fignon (France),Stage Wins: 5,Winning Margin: 0.17 hours,Overall Time: 112.1 hours
1985,Winner: Bernard Hinault (France),Stage Wins: 2,Winning Margin: 0.02 hours,Overall Time: 113.4 hours
1986,Winner: Greg LeMond (United States),Stage Wins: 1,Winning Margin: 0.05 hours,Overall Time: 110.6 hours
1987,Winner: Stephen Roche (Ireland),Stage Wins: 1,Winning Margin: 0.01 hours,Overall Time: 115.5 hours
1988,Winner: Pedro Delgado (Spain),Stage Wins: 1,Winning Margin: 0.12 hours,Overall Time: 84.5 hours
1989,Winner: Greg LeMond (United States),Stage Wins: 3,Winning Margin: 0 hours,Overall Time: 87.6 hours
1990,Winner: Greg LeMond (United States),Stage Wins: 0,Winning Margin: 0.03 hours,Overall Time: 90.7 hours
1991,Winner: Miguel Induráin (Spain),Stage Wins: 2,Winning Margin: 0.05 hours,Overall Time: 101 hours
1992,Winner: Miguel Induráin (Spain),Stage Wins: 3,Winning Margin: 0.07 hours,Overall Time: 100.8 hours
1993,Winner: Miguel Induráin (Spain),Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 96 hours
1994,Winner: Miguel Induráin (Spain),Stage Wins: 1,Winning Margin: 0.08 hours,Overall Time: 103.6 hours
1995,Winner: Miguel Induráin (Spain),Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 92.7 hours
