k,cluster,x1,x2,x3,size,withinss
1,1,1.9542522246325856e-16,7.219695926217392e-16,-9.109022827772484e-16,342,1022.9999999999965
2,1,-0.3737898841637588,0.6214680115194808,-0.6522736574968454,218,353.83728293191814
2,2,0.657146731836287,-1.092580858961666,1.1467391720509033,124,97.12441693940715
3,1,0.9376624508876833,0.7463214080265652,-0.30039213598662434,68,57.76683974610352
3,2,0.6562676592135688,-1.0983711190297099,1.1571695714046362,123,94.9419608102833
3,3,-0.9568342300902736,0.558607893343365,-0.8073191525541726,151,116.64682151974881
4,1,1.1466204207969468,-0.6629401090054197,1.569139851996087,50,22.92014222936166
4,2,0.32040960333454216,-1.3966115368545668,0.8749981463419987,73,21.493628576141013
4,3,0.9376624508876833,0.7463214080265652,-0.30039213598662434,68,57.76683974610352
4,4,-0.9568342300902736,0.558607893343365,-0.8073191525541726,151,116.64682151974881
5,1,0.6562676592135688,-1.0983711190297099,1.1571695714046362,123,94.9419608102833
5,2,0.3836806892001534,0.2680716018712622,-0.5668413122093013,36,15.653055726482876
5,3,-0.6901554711912701,1.128318417060696,-0.5391854448124423,63,32.9126005523624
5,4,1.3723309838829836,1.0591932349945514,-0.07930787838467704,35,15.729310116768396
5,5,-1.1657084311215153,0.20344995851359948,-1.002130720901036,85,39.927516523143005
6,1,-0.8620703437830138,0.5202023028448116,-1.0617901654238524,65,23.0387375002553
6,2,0.6562676592135688,-1.0983711190297099,1.1571695714046362,123,94.9419608102833
6,3,-1.427336211000966,-0.0036799558443872155,-0.8594924246980122,41,14.230060185000115
6,4,1.3723309838829836,1.0591932349945514,-0.07930787838467704,35,15.729310116768396
6,5,0.3852070571010753,0.2849510067943906,-0.5510379594110965,36,15.543664320198985
6,6,-0.6682048470922979,1.2882708732370074,-0.3681705913175813,42,21.708014747751985
7,1,1.3723309838829836,1.0591932349945514,-0.07930787838467704,35,15.729310116768396
7,2,-1.427336211000966,-0.0036799558443872155,-0.8594924246980122,41,14.230060185000115
7,3,1.1466204207969468,-0.6629401090054197,1.569139851996087,50,22.92014222936166
7,4,-0.6682048470922979,1.2882708732370074,-0.3681705913175813,42,21.708014747751985
7,5,0.3852070571010753,0.2849510067943906,-0.5510379594110965,36,15.543664320198985
7,6,-0.8620703437830138,0.5202023028448116,-1.0617901654238524,65,23.0387375002553
7,7,0.32040960333454216,-1.3966115368545668,0.8749981463419987,73,21.493628576141013
8,1,-1.2523508747571934,-0.03272804996397341,-0.9129955206161379,52,19.271837535197303
8,2,1.2903432223477511,0.702314388048409,-0.3834095386587076,21,6.4160003011895785
8,3,1.3971889754122828,1.3244410266437106,0.1838179457054363,18,5.292561804688414
8,4,0.28460553635849667,0.2671764819132176,-0.5715104846269529,33,13.676372348001635
8,5,0.32040960333454216,-1.3966115368545668,0.8749981463419987,73,21.493628576141013
8,6,1.1466204207969468,-0.6629401090054197,1.569139851996087,50,22.92014222936166
8,7,-0.5939981189166522,1.3080058165869808,-0.3439308622135676,38,18.944797093688884
8,8,-0.9590410526950228,0.6963494855567774,-1.020771827452479,57,19.52070806165502
9,1,1.1466204207969468,-0.6629401090054197,1.569139851996087,50,22.92014222936166
9,2,0.32040960333454216,-1.3966115368545668,0.8749981463419987,73,21.493628576141013
9,3,0.33831071917964783,0.24648730534599766,-0.5506292520111427,29,11.139058363525631
9,4,-1.3316951683673133,0.8219170286465758,-0.7335666842303639,35,10.497518852432693
9,5,-1.3694759391941866,-0.15822412192656216,-0.9184659119693626,31,8.586315355088999
9,6,-0.4715941246164079,1.2780226631051081,-0.3495452112339826,36,16.54218981616382
9,7,-0.7497565035129815,0.3977961441291143,-1.1202005481995103,49,16.30777040945321
9,8,1.4052024068921227,1.3792990926438777,0.19715202462892176,16,4.806430205705505
9,9,1.294059596367387,0.718250223752232,-0.34336129057381537,23,6.885924708087967
10,1,-1.2516065211799658,-0.01635698706138921,-0.8835792652261553,53,18.99825522550221
10,2,-0.29767024670168546,0.792467523098666,-0.26925398330761835,31,9.582104236236924
10,3,-0.9560887358340292,0.6735289742955742,-1.1258849174458032,48,15.526936780803878
10,4,1.6527862184575652,-0.2606885447737049,2.003717687262362,11,3.814506688446609
10,5,1.012791783499037,-0.7649555827597431,1.464850537057229,37,9.521923395468614
10,6,1.3723309838829836,1.0591932349945514,-0.07930787838467704,35,15.729310116768396
10,7,0.4774432888282119,0.15493939982696162,-0.664483456283925,28,9.518083355559435
10,8,0.02280370691076539,-1.6626108088598934,0.7603581201113795,28,4.688167476434141
10,9,0.5197547637716998,-1.220757753999066,0.9532226699712363,47,9.979349224012667
10,10,-0.8610723340016416,1.5691923980290718,-0.4888122577681641,24,9.814481644508275
11,1,-1.427336211000966,-0.0036799558443872155,-0.8594924246980122,41,14.230060185000115
11,2,0.3907019815443939,-0.8411866249936552,1.2185424701679086,20,3.5721543131851505
11,3,-0.6682048470922979,1.2882708732370074,-0.3681705913175813,42,21.708014747751985
11,4,0.9188487578464564,-1.0990519955885232,1.0508749751915683,26,4.846092721465561
11,5,1.2903432223477511,0.702314388048409,-0.3834095386587076,21,6.4160003011895785
11,6,1.1659442384226175,-0.6040309858237018,1.7157554575814336,24,4.246953154623799
11,7,-0.8714707153266722,0.5271528847278208,-1.0629184336404551,64,22.46486315884156
11,8,2.004683399979192,-0.26222303613035297,2.0328102230954213,6,1.8188669331278313
11,9,1.3971889754122828,1.3244410266437106,0.1838179457054363,18,5.292561804688414
11,10,0.28460553635849667,0.2671764819132176,-0.5715104846269529,33,13.676372348001635
11,11,0.1916181409862807,-1.566605986785717,0.7928354511469005,47,9.579718901492905
12,1,0.31746790232568,0.31284082814726066,-0.5236545636142066,29,11.312139511650582
12,2,1.1466204207969468,-0.6629401090054197,1.569139851996087,50,22.92014222936166
12,3,1.285458845064801,0.9995124818734904,-0.20731503605013754,20,3.0073178818734143
12,4,-0.8868679515272213,0.4146411012870934,-1.4909423670843387,20,5.144708731252985
12,5,0.32040960333454216,-1.3966115368545668,0.8749981463419987,73,21.493628576141013
12,6,-1.484460893884672,0.5751422254909265,-0.7453161334846817,23,4.652767301188273
12,7,-1.4668322495902302,-0.23306770035404026,-1.00574351946854,22,4.549667122629953
12,8,-0.5188388453592281,1.4480223841166147,-0.3114478428811669,28,13.162730377004353
12,9,1.2944135367502099,0.4129531607947802,-0.6340055616016725,9,3.677876487026372
12,10,-0.8832046685650087,0.949343139463081,-0.8473508243774399,27,5.21105430211426
12,11,-0.6829451999640579,0.15638620596322966,-0.7003796433541335,30,6.909063783620683
12,12,1.4296589834864393,1.3689412759865034,0.40039571246265476,11,3.0052470141657706
13,1,-0.7109158917484514,0.10701394656307939,-1.0295832363317412,32,7.54263546505798
13,2,-0.12816134690898465,-1.6547739422884409,0.7882961902367774,18,2.7763770990800074
13,3,1.294059596367387,0.718250223752232,-0.34336129057381537,23,6.885924708087967
13,4,-0.6954614167516174,1.6957879349525342,-0.4811081232790392,20,7.791598832648756
13,5,0.374522481794622,-0.8079904619781693,1.1359699517972874,18,3.534087136969087
13,6,1.4174963048767217,-0.4442270544319107,1.8333787818050302,23,7.80846103176528
13,7,-1.460956724319669,-0.04471984697804206,-0.8534464033138905,35,10.760168220274045
13,8,-1.0820686007994031,0.8216758942905309,-1.0437639234408447,42,12.31338618818027
13,9,0.9595574929622517,-0.9789949094731955,1.326738996289905,28,4.956436019906408
13,10,0.46712213445054956,-1.4761335735186658,0.7882961902367775,36,5.024264001064123
13,11,0.4669767660790332,0.1549393998269617,-0.6509377253140349,21,5.4186948229185585
13,12,1.4052024068921227,1.3792990926438777,0.19715202462892176,16,4.806430205705505
13,13,-0.3178379980635437,0.7657327236881628,-0.2547250944447525,30,8.342808271561045
14,1,0.009304271319495185,-1.692368980526318,0.6622285349601875,22,3.233550688530573
14,2,-0.2882369874608379,0.7685847610717257,-0.25881216844428834,29,7.558887707320767
14,3,0.6790777712020941,-1.3425049512105665,0.7046313813051042,17,2.0489010000004306
14,4,0.2852299595906919,-1.3551645049029126,1.0786827979037943,24,2.973502443333122
14,5,-0.7095145281152775,0.05615746362658494,-0.9111091787701978,29,7.152683981618776
14,6,-1.415846011270709,0.7032789254725879,-0.676674614156826,25,5.186104670663766
14,7,1.427161290557658,-0.43562055943158035,1.8485574961527134,22,7.607135232497385
14,8,0.5608614751391655,0.19082019200641157,-0.6254717510906418,25,7.154430509803541
14,9,-1.4394809702343172,-0.16469758546338917,-1.023821597290729,27,6.029257445118722
14,10,-0.8850994700971875,0.7685847610717258,-1.2348054395334314,29,6.394165794958886
14,11,-0.6954614167516174,1.6957879349525342,-0.4811081232790392,20,7.791598832648756
14,12,0.9998636695107714,-0.9705088350200843,1.3380705212358708,26,4.318529034101573
14,13,1.3723309838829836,1.0591932349945514,-0.07930787838467704,35,15.729310116768396
14,14,0.39436526450660647,-0.6420096469007405,1.2031342011896589,12,1.9155367323991552
15,1,0.3096518460054419,1.1894057872586836,-0.5540010880607598,8,2.217720945643927
15,2,-0.38232117123172027,0.7239237361093372,-0.2620189495823856,26,5.845624035028218
15,3,1.3971889754122828,1.3244410266437106,0.1838179457054363,18,5.292561804688414
15,4,1.2903432223477511,0.702314388048409,-0.3834095386587076,21,6.4160003011895785
15,5,1.834493379026402,-0.24112377997644246,2.023920837146431,8,2.673144847601299
15,6,-1.3258513598323551,0.721846270888029,-0.6956386375146718,30,6.644269520433806
15,7,0.4779941584465897,0.09135607752254589,-0.6302626622547292,19,4.474483276128428
15,8,-0.9031138150987724,0.7600817924747677,-1.3482483978509812,23,4.666193582814411
15,9,0.17795284168459524,-1.5703769176727989,0.8068479522172793,46,8.720733576695435
15,10,0.384291236360522,-0.8563780894244706,1.20787520702912,20,3.494597459053474
15,11,1.1112493886395836,-0.6823326697726583,1.6285077806746766,27,4.645271157679537
15,12,-1.4394809702343172,-0.16469758546338917,-1.023821597290729,27,6.029257445118722
15,13,-0.7095145281152775,0.05615746362658494,-0.9111091787701978,29,7.152683981618776
15,14,-0.8109565879213732,1.6732820617216968,-0.46807035722052004,18,5.058718527722025
